yManuf,yHlth,Intercept,Mkt.RF,SMB,HML,RMW,CMA,MOM
-0.003326601,-0.001893535,1,-0.015410236,0.004677983,-0.009965671,0.005289996,-0.005109232,0.030399401
-0.02618648,-0.028491682,1,-0.02967134,-0.007691508,-0.004122514,0.009411654,0.013967952,0.035831721
0.011142766,-0.013745121,1,-0.004430349,0.007812755,-0.005538856,0.011125988,5.82E-05,0.022337279
-0.02039352,0.02548565,1,0.027024767,-0.007609088,0.011420994,-0.006426093,0.006423351,-0.059054875
0.018412121,0.001185589,1,-0.007058671,0.014099105,-0.009786831,-0.005807621,-0.014460045,0.043438437
0.048776167,0.020517555,1,0.041774753,-0.001131635,-0.000229209,-0.000404869,-0.006290532,-0.027296013
-0.008276286,-0.009304271,1,-0.02641871,-0.008447053,0.002159885,0.004801305,-0.001708092,0.030588528
0.055958783,-0.004353921,1,0.039552145,0.003453084,-0.002034825,0.014772654,-0.00479568,0.001508448
-0.006632152,0.002476281,1,0.004513282,-0.005458914,-0.009154744,0.001778167,-0.007318797,-0.012920208
-0.006412857,0.005094947,1,0.011617646,-0.005136902,0.008525914,-0.012571684,-0.00421436,-0.023037288
0.010282428,-0.020408803,1,-0.014983807,0.010830889,-0.004700774,0.013345655,0.000289355,0.038827894
0.03675694,0.010194629,1,0.027141976,0.0036483,-0.005198513,0.004802473,0.002977108,-0.002235592
-0.025314731,-0.012727348,1,-0.032112943,0.011532545,-0.00191082,0.000177463,-2.04E-05,0.026566075
0.010299708,0.023796792,1,0.021262402,0.011541772,-0.005391214,-0.004114386,-0.004507595,-0.001196845
-0.013580885,-0.017989227,1,-0.024080786,0.015084441,-0.005913552,0.006778466,-0.006807009,0.026757523
0.008624985,-0.006186989,1,-0.001568177,-0.004112781,-0.010061817,0.012624594,0.006895467,0.025690242
-0.016801358,-0.014385403,1,-0.027933043,0.020550481,-0.006901136,0.010132081,-0.002622705,0.037552594
-0.020619876,-0.003536605,1,-0.032511106,-0.006887451,-0.007697829,0.011071892,-0.002214434,0.038802773
-0.018926167,0.019380845,1,-0.01931922,-0.030362148,0.005805535,0.010930679,-0.000815024,0.026962404
-0.015229565,0.018471872,1,-0.012990226,0.019813877,-0.02397318,-0.001166886,0.002688832,0.052931803
-0.032192727,0.024907617,1,0.016468267,0.014876031,0.063155039,-0.011266724,0.008307665,-0.093225904
-0.017403427,0.013085617,1,-0.000281342,0.02783878,0.002488566,0.000438775,-0.003325459,-0.025134245
0.001235271,-0.008399478,1,0.003995021,0.002667558,0.028253596,-0.004585462,-0.000326099,-0.02185214
-0.007400826,0.044244322,1,0.025597356,0.007983008,0.006357671,0.009900845,0.013364086,-0.047084399
0.002006574,0.006687291,1,0.006301915,0.024450137,-0.004699216,-0.002928909,0.002168212,-0.007280895
0.020480645,-0.009079892,1,-0.006713588,-0.014988791,-0.016445086,0.016388384,-0.003831985,0.041578574
-0.003048435,-0.016748526,1,-0.004910199,0.007403817,0.023473818,-0.00661966,-0.00020604,-0.017224423
-0.058701418,-0.024726204,1,-0.031444956,0.009377162,0.048564926,-0.000134617,0.016483717,-0.035388223
0.007216956,0.009507852,1,0.004760837,-0.004147196,0.006224944,0.028924607,0.01449366,0.027093518
0.005236656,-0.016032772,1,0.008760152,0.027046111,0.05989418,-0.033046788,-0.014738759,-0.035072331
-0.045611436,-0.007129019,1,-0.040135445,-0.029703595,-0.024175341,0.018976697,0.002193107,0.031250893
-0.117526161,-0.048263241,1,-0.096060404,-0.026178236,0.011956443,0.000364401,0.019898238,0.017244756
-0.210296831,-0.175281388,1,-0.179960429,0.035884806,-0.046607199,0.017013255,-0.000372991,0.073647526
